IoU,Precision,Recall,Accuracy,True_Label,Predicted_Label
0.9235292673110962,0.923538952545388,0.9999886697107377,0.9721221923828125,True,True
0.8887759447097778,0.8904658427271492,0.9978692641351495,0.9937400817871094,True,True
0.9259889721870422,0.9268829417193157,0.9989594968861414,0.9800949096679688,True,True
0.8422145843505859,0.842920811413081,0.9990062077978654,0.9475555419921875,True,True
0.8405489325523376,0.9947488841378793,0.8442951738189227,0.9616165161132812,True,True
0.9297142028808594,0.958074412019193,0.9691433663807508,0.9824371337890625,True,True
0.834449052810669,1.0,0.8344490606024927,0.9249076843261719,True,True
0.9279308319091797,0.9330676168045574,0.9941021296673601,0.98626708984375,True,True
0.8997271656990051,0.9260214314365939,0.9694061187762447,0.9793891906738281,True,True
0.9318863749504089,0.9376136446287002,0.9934878523399419,0.9712448120117188,True,True
0.8515840172767639,0.9991514725056396,0.8522003142045154,0.9358062744140625,True,True
0.7885875701904297,0.7935745737220722,0.9920940558173251,0.9552116394042969,True,True
0.9022677540779114,0.9093245848412082,0.9914722178686998,0.9555625915527344,True,True
0.9608551859855652,0.9936945426487981,0.9667495262238193,0.9755821228027344,True,True
0.9309991598129272,0.9647782319384584,0.9637558727194582,0.9632301330566406,True,True
0.9056123495101929,0.9223522261054551,0.9803530372988276,0.9589729309082031,True,True
0.9558879137039185,0.9807639942428132,0.9741514208990978,0.9911231994628906,True,True
0.9470794796943665,0.9477260846837429,0.9992800980866356,0.9810638427734375,True,True
0.9474102854728699,0.9856737292396711,0.9606384101566623,0.9730186462402344,True,True
0.9200604557991028,0.9210049979737944,0.9988865773975212,0.9887008666992188,True,True
0.9531443119049072,0.9711538461538461,0.9809152211713813,0.9956626892089844,True,True
0.9378468990325928,0.9864947229974658,0.9500447959467392,0.9922256469726562,True,True
0.9308944940567017,0.9524232173359681,0.9762934734095513,0.9838943481445312,True,True
0.8733603358268738,0.8743433888638751,0.9987142673466763,0.9871101379394531,True,True
0.7497539520263672,0.749753937007874,1.0,0.9922409057617188,True,True
0.7965866923332214,0.9765050224358244,0.8121524982240114,0.9164772033691406,True,True
0.9251629114151001,0.929569429981437,0.9949022610313715,0.96832275390625,True,True
0.792044460773468,0.805865167825728,0.9788058780421954,0.9491653442382812,True,True
0.9544879794120789,0.9925985404295825,0.9613300554398816,0.9721183776855469,True,True
0.8660071492195129,0.9940370132801178,0.8705294913138458,0.9753036499023438,True,True
0.8118506669998169,0.8120032319284466,0.9997686470479363,0.9617958068847656,True,True
0.9401021003723145,0.9996684465849999,0.940395285465708,0.9860763549804688,True,True
0.7235571146011353,0.7235570968540995,1.0,0.9957427978515625,True,True
0.9145443439483643,0.981710030557451,0.9303970083787887,0.976409912109375,True,True
0.9403024911880493,0.94504277421326,0.9946938939582747,0.9940071105957031,True,True
0.7883893847465515,0.7891133745199532,0.9988375779351157,0.9903221130371094,True,True
0.9579644203186035,0.9779916963662417,0.9790708794644499,0.97772216796875,True,True
0.9473195672035217,0.9546709880629037,0.9919368226338132,0.9911270141601562,True,True
0.9127637147903442,0.9231349829664838,0.9878410827330277,0.9835014343261719,True,True
0.8889895081520081,0.9908136165128876,0.8963777112393193,0.9415321350097656,True,True
0.945176899433136,0.9558085052466088,0.9883685485552935,0.9591064453125,True,True
0.894838809967041,0.9029331082506858,0.9900814462886407,0.9424514770507812,True,True
0.46629634499549866,0.46629635424816146,1.0,0.7397689819335938,True,True
0.889482319355011,0.9146693755753785,0.969971385288672,0.9863433837890625,True,True
0.8055346608161926,0.8099093761657121,0.9933391643678934,0.9320182800292969,True,True
0.9047307372093201,0.910480800448629,0.9930679257431054,0.9628257751464844,True,True
0.4353415369987488,0.43534155151322124,1.0,0.7024269104003906,True,True
0.948736310005188,0.9692415559078161,0.9781873000246124,0.9934463500976562,True,True
